Licensee Name,DBA,License #,Street Address,City,Zip,Operation,lat,lng
THE GIVING TREE OF DENVER LLC,,403-00284,1255 South Huron Street,Denver,80223,Both,39.693895,-104.996848
SWEET LEAF LLC,SWEET LEAF,403-00377,"110 Yuma Street, Unit 4",Denver,80223,Both,39.718618,-105.015178
COLORADO PRODUCT SERVICES LLC,DOCTORS GARDEN,403-01636,173 Oil Court,Rifle,81650,Both,39.528898,-107.818043
GREEN CROSS COLORADO LLC,,403-01287,2181 10th Street South,Rifle,81650,Both,39.52251,-107.75409
GREEN MEDICINE LLC,GREEN MEDICINE WELLNESS,403-00849,2187 10th Street South,Rifle,81650,Both,39.522603,-107.75388
SWEET LEAF PIONEER LLC,,403-00912,"0245 Marmot Lane, #5",Eagle,81631,Both,39.666364,-106.810013
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,403-01539,24530 Highway 82,Basalt,81621,Both,39.351486,-107.017619
HERBAL ELEMENTS LLP,HERBAL ELEMENTS,403-00461,"41394 US Highway 6, Units F1 & F2",Avon,81620,Both,39.638568,-106.516281
J&R PARTNERS LLC,J&R PARTNERS LLC,403-01415,"041290 Highway 6, Unit B5",Avon,81620,Both,39.622175,-106.478001
GREEN ESSENTIALS MEDICAL LLC,,403-01450,1420 Devereux Road,Glenwood Springs,81601,Both,39.558543,-107.343256
ALPINE WELLNESS LLC,,403-00159,765 Vance Drive,Telluride,81435,Both,37.94717,-107.910487
MARY JANES MEDICINALS LLC,MARY JANE'S MEDICINALS LLC,403R-00446,761 Vance Drive,Telluride,81435,Both,37.947159,-107.910372
WILLOW NORTH LLC,BUD FARM,403-01335,385 North Willow,Mancos,81328,Both,37.348092,-108.296235
DENVER PATIENTS CENTER LLC,SANTE,403-00308,26044 Highway 550 North,Durango,81303,Both,37.221255,-107.846222
GREEN STREET DISPENSARY LLC,,403R-00362,"29420 Highway 160 East, Unit B",Durango,81303,Both,37.226999,-107.813472
INDOOR HORTICULTURE CENTERS LLC,SANTE ALTERNATIVE WELLNESS,403-00307,2694 County Road 222,Durango,81303,Both,37.198304,-107.755621
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY HEALING ALAMOSA,403-01353,17505 County Road 52,Saguache,81149,Both,38.004925,-106.051443
DESSIMALS INC,LUCKY MONKEY BUDS,403-01689,137 Cedar Street,Trinidad,81082,Both,37.171017,-104.507393
FREEDOM ROAD GARDEN LTD,FREEDOM ROAD,403-01699,2600 Freedom Road,Trinidad,81082,Both,37.193414,-104.49693
M&M DISTRIBUTING LLC,M&M DISTRIBUTING,403-01495,422 North Commercial Street,Trinidad,81082,Both,37.170818,-104.506676
TRINIDADS HIGHER CALLING U LLC,,403-01563,1000 Independence Road,Trinidad,81082,Both,37.191115,-104.497036
NUVUE PHARMA LLC,,403-01656,413 Eagleridge Boulevard,Pueblo,81008,Both,38.320298,-104.611757
COLORADO DISTRIBUTING LLC,NATURES NUGS,403-01542,893 East Enterprise Drive,Pueblo West,81007,Both,38.325437,-104.705277
HERITAGE ORGANICS LLC,,403-00092,84 North Precision Drive,Pueblo West,81007,Both,38.335426,-104.726856
JKC MANUFACTURING LLC,TRIPLE HEALIX,403-01605,73 North Research Drive,Pueblo West,81007,Both,38.336595,-104.734094
PUEBLO WEST ORGANICS LLC,PUEBLO WEST ORGANICS,403-01589,129 East Enterprise Drive,Pueblo,81007,Both,38.334514,-104.738392
THE ORGANIC SEED LLC,,403-01422,41 North Precision Drive,Pueblo West,81007,Both,38.333473,-104.727746
AMERICAN PRIDE GROWERS LLC,AMERICAN PRIDE GROWERS,403-01548,1917 Santa Fe Drive,Pueblo,81006,Both,38.245608,-104.575633
COLORADO BEST BUDZ LLC,,403-01540,"23344 Highway 50 East, Unit B",Pueblo,81006,Both,38.240659,-104.508603
GREEN ACRES EMPORIUM LLC,,403-01517,6033 Highway 78 West,Pueblo,81005,Both,38.221559,-104.745784
DACONO MEDS LLC,SEDGWICK ALTERNATIVE RELIEF,403-01124,107 Main Avenue,Sedgwick,80749,Both,40.933273,-102.523631
