Licensee Name,DBA,License #,Street Address,City,Zip,Operation,location
THE GIVING TREE OF DENVER LLC,,403-00284,1255 South Huron Street,Denver,80223,Both,1255 South Huron Street Denver CO 80223
SWEET LEAF LLC,SWEET LEAF,403-00377,"110 Yuma Street, Unit 4",Denver,80223,Both,"110 Yuma Street, Unit 4 Denver CO 80223"
COLORADO PRODUCT SERVICES LLC,DOCTORS GARDEN,403-01636,173 Oil Court,Rifle,81650,Both,173 Oil Court Rifle CO 81650
GREEN CROSS COLORADO LLC,,403-01287,2181 10th Street South,Rifle,81650,Both,2181 10th Street South Rifle CO 81650
GREEN MEDICINE LLC,GREEN MEDICINE WELLNESS,403-00849,2187 10th Street South,Rifle,81650,Both,2187 10th Street South Rifle CO 81650
SWEET LEAF PIONEER LLC,,403-00912,"0245 Marmot Lane, #5",Eagle,81631,Both,"0245 Marmot Lane, #5 Eagle CO 81631"
COOPER MASON VENTURES LLC,SILVERPEAK APOTHECARY,403-01539,24530 Highway 82,Basalt,81621,Both,24530 Highway 82 Basalt CO 81621
HERBAL ELEMENTS LLP,HERBAL ELEMENTS,403-00461,"41394 US Highway 6, Units F1 & F2",Avon,81620,Both,"41394 US Highway 6, Units F1 & F2 Avon CO 81620"
J&R PARTNERS LLC,J&R PARTNERS LLC,403-01415,"041290 Highway 6, Unit B5",Avon,81620,Both,"041290 Highway 6, Unit B5 Avon CO 81620"
GREEN ESSENTIALS MEDICAL LLC,,403-01450,1420 Devereux Road,Glenwood Springs,81601,Both,1420 Devereux Road Glenwood Springs CO 81601
ALPINE WELLNESS LLC,,403-00159,765 Vance Drive,Telluride,81435,Both,765 Vance Drive Telluride CO 81435
MARY JANES MEDICINALS LLC,MARY JANE'S MEDICINALS LLC,403R-00446,761 Vance Drive,Telluride,81435,Both,761 Vance Drive Telluride CO 81435
WILLOW NORTH LLC,BUD FARM,403-01335,385 North Willow,Mancos,81328,Both,385 North Willow Mancos CO 81328
DENVER PATIENTS CENTER LLC,SANTE,403-00308,26044 Highway 550 North,Durango,81303,Both,26044 Highway 550 North Durango CO 81303
GREEN STREET DISPENSARY LLC,,403R-00362,"29420 Highway 160 East, Unit B",Durango,81303,Both,"29420 Highway 160 East, Unit B Durango CO 81303"
INDOOR HORTICULTURE CENTERS LLC,SANTE ALTERNATIVE WELLNESS,403-00307,2694 County Road 222,Durango,81303,Both,2694 County Road 222 Durango CO 81303
ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY HEALING ALAMOSA,403-01353,17505 County Road 52,Saguache,81149,Both,17505 County Road 52 Saguache CO 81149
DESSIMALS INC,LUCKY MONKEY BUDS,403-01689,137 Cedar Street,Trinidad,81082,Both,137 Cedar Street Trinidad CO 81082
FREEDOM ROAD GARDEN LTD,FREEDOM ROAD,403-01699,2600 Freedom Road,Trinidad,81082,Both,2600 Freedom Road Trinidad CO 81082
M&M DISTRIBUTING LLC,M&M DISTRIBUTING,403-01495,422 North Commercial Street,Trinidad,81082,Both,422 North Commercial Street Trinidad CO 81082
TRINIDADS HIGHER CALLING U LLC,,403-01563,1000 Independence Road,Trinidad,81082,Both,1000 Independence Road Trinidad CO 81082
